proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
apartments,5,2021-06-30T00:00:00.000,3,5,202106303544,interior alterarion: remodel 1 kitchen & 1 bath.,20000,Church,8,St,084,2021-06-30T00:00:00.000,2,3620,4,4,Noe Valley,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619963162638,wood frame (5),20000,932,apartments,3,"{coordinates:[-122.42815614289526,37.755898150334076],type:Point}",filed,wood frame (5)
office,1,2021-06-30T00:00:00.000,0,1,202106303503,"ti to (e) tenant space, mechanical and lighting upgrades restroom finish upgrades, addition of single toilet room.",0,Howard,6,St,079,2021-06-30T00:00:00.000,2,3733,6,6,South of Market,otc alterations permit,8,2021-06-30T00:00:00.000,94103,1619918384462,constr type 1,1,875,office,0,"{coordinates:[-122.40414100170165,37.78166110105377],type:Point}",filed,constr type 1
auto repairs,3,2021-06-30T00:00:00.000,,3,202106303517,request to install 1832 ln ft of a perimeter security alarm system. inside the extg perimeter fence. 12 volt/dc powered with an e-lock system for first responders.,0,Jerrold,10,Av,008,2021-06-30T00:00:00.000,2,5230,1,1,Bayview Hunters Point,otc alterations permit,8,2021-06-30T00:00:00.000,94124,1619932178012,constr type 3,23920,2270,auto repairs,,"{coordinates:[-122.40046805664977,37.746097469353884],type:Point}",filed,constr type 3
apartments,5,2021-06-30T00:00:00.000,8,5,202106303484,"stair repair less than 50% at rear of property, not visible from the street. replace with new wood in kind.",9500,Grove,5,St,033,2021-06-30T00:00:00.000,0,0805,2,2,Hayes Valley,otc alterations permit,8,2021-06-30T00:00:00.000,94102,1619897420346,wood frame (5),9500,735,apartments,8,"{coordinates:[-122.42870904348109,37.77690003629856],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,5,5,202106303531,apt. a: in-kind existing one kitchen and one bathroom remodel. replace existing old wire and add an electrical subpanel. add insulation to exterior wall.,42000,Larkin,3,St,002A,2021-06-30T00:00:00.000,0,0621,3,3,Nob Hill,otc alterations permit,8,2021-06-30T00:00:00.000,94109,1619949266875,wood frame (5),42000,1547,apartments,5,"{coordinates:[-122.41963667267751,37.792276171134816],type:Point}",issued,wood frame (5)
office,1,2021-06-30T00:00:00.000,,1,202106303533,demo existing and replace with upgraded bda filter and donor antenna.,77771,Market,6,St,065,2021-06-30T00:00:00.000,2,3701,17,17,South of Market,otc alterations permit,8,2021-06-30T00:00:00.000,94103,1619951458145,constr type 1,77771,1275,office,,"{coordinates:[-122.41538185047497,37.77752582760276],type:Point}",issued,constr type 1
office,1,2021-06-30T00:00:00.000,0,1,202106303518,6/f: fire alarm t.i: adding 1 dual input monitor module to existing notifier nfs2-3030 fire alarm system.,7300,Maritime,3,Pz,021,2021-06-30T00:00:00.000,2,0204,26,26,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,,1619933289258,constr type 1,7300,1,office,0,"{coordinates:[-122.39922677527943,37.7956069656161],type:Point}",issued,constr type 1
apartments,5,2021-06-30T00:00:00.000,37,5,202106303490,unit #24 and #26: remove old wood 2'x6" flooring. install sheet metal capping on top of extg floor joist. install new redwood flooring 2'x6". replace 2 sets of deck. (75 sq foot each deck),8500,Clayton,8,St,042,2021-06-30T00:00:00.000,0,2655,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619902141010,wood frame (5),8500,1222,apartments,37,"{coordinates:[-122.4458596897016,37.76154556387047],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303542,in-kind remodeling of 1 kitchen(s) in 1st fl and in-kind remodeling of 1 bathroom(s) in 1st fl with 1 shower pan(s). alteration of service equipment.  installing gas line.  need a "green tag" for electrical service equipment.,80000,Crescent,9,Av,012,2021-06-30T00:00:00.000,0,5745,1,1,Bernal Heights,otc alterations permit,8,2021-06-30T00:00:00.000,94110,1619961188432,wood frame (5),80000,165,1 family dwelling,1,"{coordinates:[-122.42112809180733,37.735329450585205],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303509,"remove (e) door and jamb, frame new opening in existing wall (3.0' x 6' x 8')",4800,Bridgeview,10,Dr,061,2021-06-30T00:00:00.000,2,5336,2,2,Bayview Hunters Point,otc alterations permit,8,2021-06-30T00:00:00.000,94124,1619924179893,wood frame (5),4800,170,1 family dwelling,1,"{coordinates:[-122.39706692047636,37.73550163266406],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,3,5,202106303481,"82 sq ft bath room remodel. new curbed shower, new toilet, new double vanity. all new fixutres and finishes. no changes to walls or opening.",14500,20th,4,Av,055,2021-06-30T00:00:00.000,0,1730,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-30T00:00:00.000,94122,1619894479847,wood frame (5),14500,1235,apartments,3,"{coordinates:[-122.47860568725102,37.764675396822604],type:Point}",issued,wood frame (5)
apartments,3,2021-06-30T00:00:00.000,60,3,202106303536,unit 402- convert (e) kitchen to bedroom. relocate kitchen. rehabilitate (e) bath. install washer/dryer,0,Geary,6,St,014,2021-06-30T00:00:00.000,2,0693,5,5,Tenderloin,otc alterations permit,8,2021-06-30T00:00:00.000,94109,1619955236624,constr type 3,40000,990,apartments,60,"{coordinates:[-122.41948589684957,37.786187005994165],type:Point}",filed,constr type 3
apartments,5,2021-06-30T00:00:00.000,3,5,202106303498,replace 15 wood tilt packs tos marvin wood tilt packs with integrated ogee lugs and double glass. no grids. windows visible from street.,31000,Duboce,8,Av,053,2021-06-30T00:00:00.000,0,3538,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619911246780,wood frame (5),31000,577,apartments,3,"{coordinates:[-122.43301831050563,37.76896626571464],type:Point}",issued,wood frame (5)
office,1,2021-06-30T00:00:00.000,,1,202106303541,"suite 850: t.i work, install new notification appliances to conform to new tenant space layout.",15000,Sansome,3,St,003,2021-06-30T00:00:00.000,2,0289,41,41,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94104,161996067085,constr type 1,15000,1,office,,"{coordinates:[-122.4009404417576,37.79048515914468],type:Point}",issued,constr type 1
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303529,to comply with nov 202173078 - demo most part of the shed. shed to be demolished: 591.63 sf. shed to be kept 84.88 sf,0,Andover,9,St,005,2021-06-30T00:00:00.000,2,5717,1,1,Bernal Heights,otc alterations permit,8,2021-06-30T00:00:00.000,94110,1619947187603,wood frame (5),500,510,1 family dwelling,1,"{coordinates:[-122.41696038885465,37.73665368275632],type:Point}",filed,wood frame (5)
office,2,2021-06-30T00:00:00.000,,2,202106303502,includes instllation of card readers at 1st fl.  elevator & 1st fl. stairwell door,0,Folsom,9,St,001,2021-06-30T00:00:00.000,2,3591,3,3,Mission,otc alterations permit,8,2021-06-30T00:00:00.000,94110,1619917424217,constr type 2,50000,2270,office,,"{coordinates:[-122.41548472783543,37.76126494130828],type:Point}",filed,constr type 2
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303478,bolt (e) foundation at cripple walls (w) 5/8" galv. tr 3 x 3 washer @ 48 oc min spacing /7" min embedment. add simp urfps at areas with no cripple walls at 6' oc. add 4' of 1/2 struc i plywood @ se & sw corners. nail (n) 10 d 4" edge 12" feild.,11483,Sussex,8,St,063,2021-06-30T00:00:00.000,0,6731,2,2,Glen Park,otc alterations permit,8,2021-06-30T00:00:00.000,94131,1619893211646,wood frame (5),11483,291,1 family dwelling,1,"{coordinates:[-122.43797276112738,37.73649901932093],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303493,ground flr infill under existing deck in rear yard to enlarge existing home gym.,,21st,1,Av,005,2021-06-30T00:00:00.000,2,1381,3,3,Outer Richmond,additions alterations or repairs,3,2021-06-30T00:00:00.000,94121,161990697657,wood frame (5),20000,129,1 family dwelling,1,"{coordinates:[-122.48114381903926,37.785302036860514],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303488,"ground floor rear yard, subgrade expansion. 1st floor rear yard addition, kitchen renovation, bath renovation, new bathroom3",,Rockdale,7,Dr,040,2021-06-30T00:00:00.000,2,2961A,1,1,West of Twin Peaks,additions alterations or repairs,3,2021-06-30T00:00:00.000,94127,1619903148114,wood frame (5),300000,817,1 family dwelling,1,"{coordinates:[-122.45338938162301,37.74109143492814],type:Point}",filed,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,3,5,202106303486,"stair repair less than 50 % at right of property, not visible from street. repalce with new wood in kind.",6000,Masonic,5,Av,075,2021-06-30T00:00:00.000,0,1209,3,3,Lone Mountain/USF,otc alterations permit,8,2021-06-30T00:00:00.000,94117,1619899467717,wood frame (5),6000,807,apartments,3,"{coordinates:[-122.44635373683235,37.773704172122706],type:Point}",issued,wood frame (5)
apartments,1,2021-06-30T00:00:00.000,449,1,202106303477,unit 328: in-kind kitchen remodel (no change to the floor plan or walls) like for like. replacing everything in the same location. add recessed lighting. upgrade electrical.,25000,Van Ness,5,Av,328,2021-06-30T00:00:00.000,0,0762,13,13,Western Addition,otc alterations permit,8,2021-06-30T00:00:00.000,94110,161989081270,constr type 1,25000,601,apartments,449,"{coordinates:[-122.42140632584281,37.78138577762951],type:Point}",issued,constr type 1
retail sales,3,2021-06-30T00:00:00.000,0,3,202106303535,"exploratory demo to expose beam/joist sizes, locate sizes, locate depth of extg footings. asbestos abatement per ab017",20000,Pacific,3,Av,011,2021-06-30T00:00:00.000,2,0573,1,1,Russian Hill,otc alterations permit,8,2021-06-30T00:00:00.000,94109,1619954388565,constr type 3,20000,1580,retail sales,0,"{coordinates:[-122.42128545612061,37.79533850642781],type:Point}",issued,constr type 3
apartments,5,2021-06-30T00:00:00.000,3,5,202106303498,replace 15 wood tilt packs tos marvin wood tilt packs with integrated ogee lugs and double glass. no grids. windows visible from street.,31000,Duboce,8,Av,053,2021-06-30T00:00:00.000,0,3538,3,3,Castro/Upper Market,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619912268199,wood frame (5),31000,579,apartments,3,"{coordinates:[-122.43301831050563,37.76896626571464],type:Point}",issued,wood frame (5)
day care home gt 12,,2021-06-30T00:00:00.000,2,,202106303520,installation of a new manual and automatic fire alarm system ref pa# 201802080819,0,Balboa,1,St,018A,2021-06-30T00:00:00.000,2,1546,2,2,Inner Richmond,otc alterations permit,8,2021-06-30T00:00:00.000,94118,1619936103749,,20000,226,retail sales,2,"{coordinates:[-122.46134760322892,37.777595606346054],type:Point}",filed,
apartments,5,2021-06-30T00:00:00.000,4,5,202106303522,replair/ replace rear stair less than 50%: replace 2 6"x6" suport posts for 8x6 landing. replace 6 2x6 pressure treaded floor joists of landing.,7000,46th,4,Av,001,2021-06-30T00:00:00.000,0,1704,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-30T00:00:00.000,94122,1619940272415,wood frame (5),7000,1207,apartments,4,"{coordinates:[-122.50635017124264,37.76389497438768],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303479,in front master bedroom replace 2 fixed wood windows in-kind; replace 1 operable wood window in kind. windows are visible from street,7000,Lake,2,St,008,2021-06-30T00:00:00.000,0,1341,1,1,Seacliff,otc alterations permit,8,2021-06-30T00:00:00.000,94121,161989196347,wood frame (5),7000,1630,1 family dwelling,1,"{coordinates:[-122.47718741210997,37.78635496032752],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202106303504,"foundation upgrade, remodel 2nd floor bath in kind.",30000,23rd,1,Av,038,2021-06-30T00:00:00.000,2,1382,3,3,Outer Richmond,otc alterations permit,8,2021-06-30T00:00:00.000,94121,161992197742,wood frame (5),30000,126,1 family dwelling,1,"{coordinates:[-122.4826330105648,37.7853031945436],type:Point}",issued,wood frame (5)
office,1,2021-06-30T00:00:00.000,0,1,202106303525,"4th fl: add (9) changeout (9), relocate (3) sprinklers per t.i. pa #202105140410. 5th fl: add (9) changeout (9), relocate (13) sprinklers per t.i. pa #202105180510.",0,Spear,6,St,023,2021-06-30T00:00:00.000,2,3716,5,5,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94105,1619943164631,constr type 1,18900,101,office,0,"{coordinates:[-122.39284683090881,37.792264750397536],type:Point}",filed,constr type 1
apartments,,2021-06-30T00:00:00.000,105,1,202106303523,install emergency respones radio covarge system,,Avenue Of The Palms,6,,002,2021-06-30T00:00:00.000,2,8901,,6,Treasure Island,additions alterations or repairs,3,2021-06-30T00:00:00.000,94130,1619941508820,constr type 1,50000,1,vacant lot,,"{coordinates:[-122.37109339089557,37.81706188692536],type:Point}",filed,
apartments,5,2021-06-30T00:00:00.000,6,5,202106303491,remodel kitchen & bath in kind,36800,Union,2,St,032,2021-06-30T00:00:00.000,0,0532,5,5,Marina,otc alterations permit,8,2021-06-30T00:00:00.000,94123,161990473325,wood frame (5),30000,2060,apartments,6,"{coordinates:[-122.43325732420547,37.797659822951005],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,7,5,202106303521,"install an automatic  and manual fire alarm system for an extg bldg, r-2 occupancy. the trigger for this system is the sleeping area requirements subsection 1103.7.6.1",20000,Green,2,St,004,2021-06-30T00:00:00.000,2,0541,4,4,Marina,otc alterations permit,8,2021-06-30T00:00:00.000,94123,1619938303336,wood frame (5),20000,2018,apartments,7,"{coordinates:[-122.43236075555426,37.79676570578553],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,12,5,202106303492,unit 12: kitchen and bathroom remodel.,25000,Leavenworth,3,St,027,2021-06-30T00:00:00.000,0,0151,5,5,Nob Hill,otc alterations permit,8,2021-06-30T00:00:00.000,94109,1619905399719,wood frame (5),25000,1720,apartments,12,"{coordinates:[-122.41666482934227,37.796949946714925],type:Point}",issued,wood frame (5)
office,1,2021-06-30T00:00:00.000,0,1,202106303524,"13th floor: buildlout of a vacant shell space. includes conference room, offices, break area, new partitions, d/f/h, casework, power, plumbing, ceiling and lights, etc. any new  and/or alteration to mep, sprinkler & life safety systems will be under separate permits.",0,California,3,St,032,2021-06-30T00:00:00.000,2,0258,22,22,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94108,161994266051,constr type 1,185000,601,office,0,"{coordinates:[-122.40468558597021,37.79235939338305],type:Point}",filed,constr type 1
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303519,installation of a new sprinkler monitoring system. ref sprinkler 202104138447,4000,Euclid,2,Av,020,2021-06-30T00:00:00.000,2,1039,3,3,Presidio Heights,otc alterations permit,8,2021-06-30T00:00:00.000,94118,161993587904,wood frame (5),4000,730,1 family dwelling,1,"{coordinates:[-122.45739226576433,37.784149365774496],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-30T00:00:00.000,2,5,202106303506,"nfpa 13r, 2016 ed. all 4 levels of sfr & addition are in scope of work, per approved pa 2019 0129 1550. all work shall meet city code & standards, included 2 dedicated underground water service, back-flow/ underground piping included",17158,Clinton,8,Pk,042,2021-06-30T00:00:00.000,2,3534,3,4,Mission,otc alterations permit,8,2021-06-30T00:00:00.000,94103,1619920157132,wood frame (5),17158,239,2 family dwelling,2,"{coordinates:[-122.42541866720057,37.76890754908571],type:Point}",issued,wood frame (5)
office,2,2021-06-30T00:00:00.000,0,2,202106303526,new 2 way communication system. head end equipment to locate on 6th floor. add 1 new command center phone on 1st floor. add 1 remote call station on 4th floor lobby. add 1 dual monitory module m for 2 way communication supervision and  1 unlock station.,5000,Montgomery,3,St,009,2021-06-30T00:00:00.000,2,0239,11,11,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94104,161994463393,constr type 2,5000,400,office,0,"{coordinates:[-122.40256703839083,37.79314890915319],type:Point}",issued,constr type 2
apartments,5,2021-07-01T00:00:00.000,12,5,202106303545,"unit #103: revision to pa# 202103055977 (kitchen & bath only - no plan). convert existing kitchen to study. relocate kitchen, rehabilitate existing bathroom. install washer and dryer.",20000,Pierce,2,St,001E,2021-06-30T00:00:00.000,2,0537,4,4,Marina,otc alterations permit,8,2021-06-30T00:00:00.000,94123,161996473484,wood frame (5),20000,2845,apartments,12,"{coordinates:[-122.43897435053876,37.79630664684886],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303495,"four bathrooms, in kind remodel. all cabinerty hardware flooring anad fixtures to be replaced with new. all electrical and plumbing locations to remain as is.",60000,San Leandro,7,Wy,007A,2021-06-30T00:00:00.000,0,3252,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-30T00:00:00.000,94127,1619908155204,wood frame (5),6000,270,1 family dwelling,1,"{coordinates:[-122.46899551201246,37.732179359003936],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,3,5,202106303497,"replace entry door and one window, same size and same location. window not visible from street.",12300,High,8,St,072,2021-06-30T00:00:00.000,0,2849,3,3,Noe Valley,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619910506061,wood frame (5),12300,37,apartments,3,"{coordinates:[-122.44324044285825,37.74859968577318],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303473,"bolt (e) foundation in garage & breezeway (w) 5/8 galv. tr 3 x 3 washer @ 32 oc min spacing /7 min embedment. add 1/2 struc i plywood skip areas w/ utilities, nail (n) 10 d 4 edge 12 feild.",13118,Anza,1,St,015G,2021-06-30T00:00:00.000,0,1518,2,2,Outer Richmond,otc alterations permit,8,2021-06-30T00:00:00.000,94121,1619886102505,wood frame (5),13118,3536,1 family dwelling,1,"{coordinates:[-122.48633730514197,37.77836939677968],type:Point}",issued,wood frame (5)
,,2021-06-30T00:00:00.000,,,202106303512,reface 1 existing projecting sign (citibank),,West Portal,7,Av,031,2021-06-30T00:00:00.000,2,2988A,,,West of Twin Peaks,wall or painted sign,7,2021-06-30T00:00:00.000,94127,1619927149037,,2500,130,,,"{coordinates:[-122.46775372118572,37.739487958458085],type:Point}",filed,
,5,2021-06-30T00:00:00.000,,,202106303507,install one illuminated wall sign. (citibank),5000,West Portal,7,Av,031,2021-06-30T00:00:00.000,2,2988A,1,,West of Twin Peaks,sign - erect,4,2021-06-30T00:00:00.000,94127,1619922149037,,5000,130,lending institution,,"{coordinates:[-122.46775372118572,37.739487958458085],type:Point}",filed,wood frame (5)
office,2,2021-06-30T00:00:00.000,0,2,202106303515,"rev to pa 202103035769 full floor ti updates to new interior non lod bearing partitions, mechanical, plumbing, electrical and finishes.",0,03rd,6,St,059,2021-06-30T00:00:00.000,2,3735,12,12,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94105,1619929347067,constr type 2,1,201,office,0,"{coordinates:[-122.39981703448406,37.78505019963749],type:Point}",filed,constr type 2
2 family dwelling,5,2021-06-30T00:00:00.000,2,5,202106303471,re-roofing,9000,Levant,8,St,045A,2021-06-30T00:00:00.000,0,2619,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-30T00:00:00.000,94114,1619884139686,wood frame (5),9000,33,2 family dwelling,2,"{coordinates:[-122.44205242718992,37.76449702327744],type:Point}",issued,wood frame (5)
apartments,3,2021-06-30T00:00:00.000,23,3,202106303482,unit #21 - remodeling kitchen remodeling bathroom,25000,Ofarrell,6,St,037,2021-06-30T00:00:00.000,0,0321,5,5,Tenderloin,otc alterations permit,8,2021-06-30T00:00:00.000,94109,161989569501,constr type 3,25000,735,apartments,23,"{coordinates:[-122.41685466165842,37.78501908161378],type:Point}",issued,constr type 3
office,1,2021-06-30T00:00:00.000,0,1,202106303530,fire alarm as built per pa 2020-0715-0258. updated sheet fa 003 with sffd approved meeting minutes,1,Market,3,St,005,2021-06-30T00:00:00.000,2,0311,5,5,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94104,161994869318,constr type 1,1,660,office,0,"{coordinates:[-122.40295301487832,37.788464788289076],type:Point}",issued,constr type 1
apartments,3,2021-06-30T00:00:00.000,59,3,202106303510,unit 107: rehabilitate existing kitchen. rehabilitate existing bathroom.,36000,Leavenworth,6,St,016,2021-06-30T00:00:00.000,0,0323,5,5,Tenderloin,otc alterations permit,8,2021-06-30T00:00:00.000,94102,1619925233916,constr type 3,35000,434,apartments,59,"{coordinates:[-122.41419155060342,37.78526005500986],type:Point}",issued,constr type 3
office,1,2021-06-30T00:00:00.000,0,1,202106303501,"#600:  new conferance rooms, pantry and reception, millwork, nw  plumbing, lighting, power data, mechanical and partitions.",0,California,3,St,002,2021-06-30T00:00:00.000,2,0238,8,8,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,94130,1619916349275,constr type 1,385000,300,office,0,"{coordinates:[-122.40034367408822,37.793446542736916],type:Point}",filed,constr type 1
apartments,5,2021-06-30T00:00:00.000,6,5,202106303494,"replace 2 fire rated windows in kind to fire rated windows, the same size and style. existing windows have rusted frame and leak. 60 minutes rated.",10000,Taraval,7,St,045,2021-06-30T00:00:00.000,0,2407,4,4,West of Twin Peaks,otc alterations permit,8,2021-06-30T00:00:00.000,94116,1619907492696,wood frame (5),10100,821,apartments,6,"{coordinates:[-122.47502103576221,37.742831630635095],type:Point}",issued,wood frame (5)
retail sales,5,2021-06-30T00:00:00.000,0,5,202106303540,1/f: reflect floor plan changes for relocated store fixtures within the existing produce market.,24000,Mission,9,St,052,2021-06-30T00:00:00.000,2,6528,1,1,Mission,otc alterations permit,8,2021-06-30T00:00:00.000,94110,1619959377688,wood frame (5),500,2999,retail sales,0,"{coordinates:[-122.41788312462819,37.749232039329016],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-30T00:00:00.000,2,5,202106303474,replacing in kind (2)non-street facing windows(e) wood (n)wood composite & (1) non-street facing patio door. (e) wood (n) wood composite.,13877,Diamond,8,St,079,2021-06-30T00:00:00.000,0,7537,2,2,Glen Park,otc alterations permit,8,2021-06-30T00:00:00.000,94131,1619887459560,wood frame (5),13877,1817,2 family dwelling,2,"{coordinates:[-122.43521919914986,37.74281413864567],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303487,"horizontal/side addition and interior remodel. in 1st floor : add an exercise room, a  guest room,  a  study room, bathroom, a powder room, a laundry room. in 2nd floor: remodel existing family room and bathroom.",,Monterey,7,Bl,016,2021-06-30T00:00:00.000,2,3106,2,2,West of Twin Peaks,additions alterations or repairs,3,2021-06-30T00:00:00.000,94127,1619900152479,wood frame (5),120000,1055,1 family dwelling,1,"{coordinates:[-122.4602734999042,37.73030186347422],type:Point}",filed,wood frame (5)
apartments,3,2021-06-30T00:00:00.000,42,3,202106303514,unit 405: rehabilitate existing kitchen. rehabilitate existing bathroom.,36000,Geary,6,St,016B,2021-06-30T00:00:00.000,0,0318,7,7,Tenderloin,otc alterations permit,8,2021-06-30T00:00:00.000,94102,1619931300673,constr type 3,30000,685,apartments,42,"{coordinates:[-122.41451992622102,37.78640246918687],type:Point}",issued,constr type 3
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303505,"comply with nov#202178240.install new roof @ deck, install 4x4 post @ lower area of deck. rated wall @ party line.",0,Gambier,9,St,022,2021-06-30T00:00:00.000,2,5941,2,2,Excelsior,otc alterations permit,8,2021-06-30T00:00:00.000,94134,1619919191944,wood frame (5),2500,231,1 family dwelling,1,"{coordinates:[-122.42137569018514,37.72649303888953],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-30T00:00:00.000,1,5,202106303470,reroofing,9800,Rosella,11,Ct,031,2021-06-30T00:00:00.000,0,6954,2,2,Outer Mission,otc alterations permit,8,2021-06-30T00:00:00.000,94112,1619883215182,wood frame (5),9800,1,1 family dwelling,1,"{coordinates:[-122.43871077837609,37.72219794650051],type:Point}",issued,wood frame (5)
retail sales,1,2021-06-30T00:00:00.000,0,1,202106303500,ground floor change use from office to retail. no change in building gross floor area. scope include replacementof (e) storefront glazing /new storefront door and sides lights interior ti build out under seperate permit.,0,Folsom,6,St,046,2021-06-30T00:00:00.000,2,3741,15,15,Financial District/South Beach,otc alterations permit,8,2021-06-30T00:00:00.000,,1619915513060,constr type 1,160000,2,office,0,"{coordinates:[-122.39100073743049,37.79090776936935],type:Point}",filed,constr type 1
2 family dwelling,5,2021-06-29T00:00:00.000,2,5,202106293405,revision to pa 2019-0807-8122 new soft floor framing and dry rot,0,Grove,5,St,062,2021-06-29T00:00:00.000,2,1183,2,2,Hayes Valley,otc alterations permit,8,2021-06-29T00:00:00.000,94117,1619812452052,wood frame (5),7000,1468,2 family dwelling,2,"{coordinates:[-122.44078648288718,37.77573420801999],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293435,interior remodel w/structural retrofit of ground floor rear slab on grade lowered 18" & front windows in-kind replacement,0,Franconia,9,St,002,2021-06-29T00:00:00.000,2,5551,2,2,Bernal Heights,otc alterations permit,8,2021-06-29T00:00:00.000,94110,1619844184217,wood frame (5),75000,366,1 family dwelling,1,"{coordinates:[-122.40816202504112,37.7442047932885],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293384,reroofing,23500,Wawona,7,St,018,2021-06-29T00:00:00.000,0,2988A,2,2,West of Twin Peaks,otc alterations permit,8,2021-06-29T00:00:00.000,94127,1619790149019,wood frame (5),23500,285,1 family dwelling,1,"{coordinates:[-122.46924401291204,37.73857684679071],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293388,re-roofing,7000,39th,4,Av,016,2021-06-29T00:00:00.000,0,2311,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-29T00:00:00.000,94116,1619795130593,wood frame (5),7000,2230,1 family dwelling,1,"{coordinates:[-122.4970077764559,37.745228782826885],type:Point}",issued,wood frame (5)
apartments,5,2021-06-30T00:00:00.000,3,5,202106293375,reroofing,10000,San Bruno,9,Av,030,2021-06-29T00:00:00.000,0,5458,2,2,Portola,otc alterations permit,8,2021-06-29T00:00:00.000,94134,1619779182498,wood frame (5),10000,2937,apartments,3,"{coordinates:[-122.40214027881561,37.72479564594403],type:Point}",complete,wood frame (5)
2 family dwelling,5,2021-06-29T00:00:00.000,2,5,202106293393,to comply with physical inspection report #cc-8494,500,23rd,1,Av,014,2021-06-29T00:00:00.000,0,1410,3,3,Outer Richmond,otc alterations permit,8,2021-06-29T00:00:00.000,94121,1619801375238,wood frame (5),500,269,2 family dwelling,2,"{coordinates:[-122.48310813856489,37.78272710640181],type:Point}",issued,wood frame (5)
office,2,2021-06-29T00:00:00.000,0,2,202106293398,"revision to bpa 202009023304. minor adjustment to roof deck area, guardrail location changed and minor structural modifications.",10000,Battery,3,St,001,2021-06-29T00:00:00.000,2,0173,3,3,Financial District/South Beach,otc alterations permit,8,2021-06-29T00:00:00.000,94111,161980661548,constr type 2,10000,600,office,0,"{coordinates:[-122.4004640431884,37.79747775023145],type:Point}",issued,constr type 2
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106293442,"ground floor - remodel office & utility room w/laundry, add storage room; 2nd fl - remodel (1) full bath, remodel 1/4 bath to be full bath; add deck & door from dining, relocate closet",0,35th,4,Av,020,2021-06-29T00:00:00.000,2,1908,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-29T00:00:00.000,94122,1619851119909,wood frame (5),38000,1679,1 family dwelling,1,"{coordinates:[-122.4941064471463,37.755756670299],type:Point}",filed,wood frame (5)
